====================================================================================================
data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 13838] },
  (protein, rev_interaction, drug)={ edge_index=[2, 13838] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 7751],
    edge_label=[5811],
    edge_label_index=[2, 5811],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 7751] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 9688],
    edge_label=[4149],
    edge_label_index=[2, 4149],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 9688] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 11071],
    edge_label=[8301],
    edge_label_index=[2, 8301],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 11071] }
)
****************************************************************************************************
edge_x: torch.Size([5811, 32])
labels: torch.Size([5811])
edge_x: torch.Size([4149, 32])
labels: torch.Size([4149])
edge_x: torch.Size([8301, 32])
labels: torch.Size([8301])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 64, bias=True)
    (protein): Linear(-1, 64, bias=True)
  )
  (convs): ModuleList(
    (0-1): 2 x HGTConv(-1, 64, heads=2)
  )
  (lin): Linear(128, 1, bias=True)
)
Epoch: 51, Loss: 0.6157
Epoch: 101, Loss: 0.5060
Epoch: 151, Loss: 0.4980
Epoch: 201, Loss: 0.4968
Epoch: 251, Loss: 0.4967
Epoch: 301, Loss: 0.4949
Epoch: 351, Loss: 0.4945
Epoch: 401, Loss: 0.4939
Epoch: 451, Loss: 0.4932
Epoch: 501, Loss: 0.4930
Epoch: 551, Loss: 0.4928
Epoch: 601, Loss: 0.4916
Epoch: 651, Loss: 0.4911
Epoch: 701, Loss: 0.4914
Epoch: 751, Loss: 0.4910
Epoch: 801, Loss: 0.4921
Epoch: 851, Loss: 0.4911
Epoch: 901, Loss: 0.4900
Epoch: 951, Loss: 0.4904
Epoch: 1001, Loss: 0.4903
Elapsed time 0.0993 min
Epoch: 51, Loss: 0.5118
Epoch: 101, Loss: 8.8441
Epoch: 151, Loss: 29.9998
Epoch: 201, Loss: 29.9988
Epoch: 251, Loss: 29.9987
Epoch: 301, Loss: 29.9986
Epoch: 351, Loss: 29.9985
Epoch: 401, Loss: 29.9985
Epoch: 451, Loss: 29.9984
Epoch: 501, Loss: 29.9984
Epoch: 551, Loss: 29.9984
Epoch: 601, Loss: 29.9983
Epoch: 651, Loss: 29.9983
Epoch: 701, Loss: 29.9982
Epoch: 751, Loss: 29.9982
Epoch: 801, Loss: 29.9981
Epoch: 851, Loss: 29.9980
Epoch: 901, Loss: 29.9979
Epoch: 951, Loss: 29.9979
Epoch: 1001, Loss: 29.9978
Elapsed time 0.0988 min
Epoch: 51, Loss: 29.9976
Epoch: 101, Loss: 29.9975
Epoch: 151, Loss: 29.9974
Epoch: 201, Loss: 29.9973
Epoch: 251, Loss: 29.9972
Epoch: 301, Loss: 29.9970
Epoch: 351, Loss: 29.9969
Epoch: 401, Loss: 29.9968
Epoch: 451, Loss: 29.9967
Epoch: 501, Loss: 29.9966
Epoch: 551, Loss: 29.9965
Epoch: 601, Loss: 29.9964
Epoch: 651, Loss: 29.9963
Epoch: 701, Loss: 29.9963
Epoch: 751, Loss: 29.9962
Epoch: 801, Loss: 29.9961
Epoch: 851, Loss: 29.9960
Epoch: 901, Loss: 29.9959
Epoch: 951, Loss: 29.9959
Epoch: 1001, Loss: 29.9958
Elapsed time 0.0984 min
Epoch: 51, Loss: 29.9957
Epoch: 101, Loss: 29.9956
Epoch: 151, Loss: 29.9956
Epoch: 201, Loss: 29.9955
Epoch: 251, Loss: 29.9954
Epoch: 301, Loss: 29.9953
Epoch: 351, Loss: 29.9953
Epoch: 401, Loss: 29.9952
Epoch: 451, Loss: 29.9951
Epoch: 501, Loss: 29.9950
Epoch: 551, Loss: 29.9949
Epoch: 601, Loss: 29.9949
Epoch: 651, Loss: 29.9948
Epoch: 701, Loss: 29.9947
Epoch: 751, Loss: 29.9946
Epoch: 801, Loss: 29.9945
Epoch: 851, Loss: 29.9944
Epoch: 901, Loss: 29.9943
Epoch: 951, Loss: 29.9942
Epoch: 1001, Loss: 29.9941
Elapsed time 0.0984 min
Epoch: 51, Loss: 29.9940
Epoch: 101, Loss: 29.9939
Epoch: 151, Loss: 29.9938
Epoch: 201, Loss: 29.9937
Epoch: 251, Loss: 29.9936
