====================================================================================================
data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 13838] },
  (protein, rev_interaction, drug)={ edge_index=[2, 13838] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 7751],
    edge_label=[5811],
    edge_label_index=[2, 5811],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 7751] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 9688],
    edge_label=[4149],
    edge_label_index=[2, 4149],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 9688] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 11071],
    edge_label=[8301],
    edge_label_index=[2, 8301],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 11071] }
)
****************************************************************************************************
edge_x: torch.Size([5811, 32])
labels: torch.Size([5811])
edge_x: torch.Size([4149, 32])
labels: torch.Size([4149])
edge_x: torch.Size([8301, 32])
labels: torch.Size([8301])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 64, bias=True)
    (protein): Linear(-1, 64, bias=True)
  )
  (convs): ModuleList(
    (0-1): 2 x HGTConv(-1, 64, heads=2)
  )
  (lin): Linear(128, 1, bias=True)
)
Epoch: 51, Loss: 0.5673
Epoch: 101, Loss: 0.4988
Epoch: 151, Loss: 0.4728
Epoch: 201, Loss: 0.4640
Epoch: 251, Loss: 0.4605
Epoch: 301, Loss: 0.4579
Epoch: 351, Loss: 0.4558
Epoch: 401, Loss: 0.4533
Epoch: 451, Loss: 0.4553
Epoch: 501, Loss: 0.4541
Epoch: 551, Loss: 0.4483
Epoch: 601, Loss: 0.4472
Epoch: 651, Loss: 0.4506
Epoch: 701, Loss: 0.4443
Epoch: 751, Loss: 0.4538
Epoch: 801, Loss: 0.4520
Epoch: 851, Loss: 0.4666
Epoch: 901, Loss: 0.4543
Epoch: 951, Loss: 0.4491
Epoch: 1001, Loss: 0.4493
Epoch: 6, Loss: 0.4491
Epoch: 11, Loss: 0.4486
Epoch: 16, Loss: 0.4721
Epoch: 21, Loss: 0.4568
Epoch: 26, Loss: 0.4513
Epoch: 31, Loss: 0.4511
Epoch: 36, Loss: 0.4495
Epoch: 41, Loss: 0.4484
Epoch: 46, Loss: 0.4476
Epoch: 51, Loss: 0.4472
Epoch: 56, Loss: 0.4469
Epoch: 61, Loss: 0.4465
Epoch: 66, Loss: 0.4462
Epoch: 71, Loss: 0.4459
Epoch: 76, Loss: 0.4455
Epoch: 81, Loss: 0.4453
Epoch: 86, Loss: 0.4453
Epoch: 91, Loss: 0.4451
Epoch: 96, Loss: 0.4449
Epoch: 101, Loss: 0.4444
Epoch: 106, Loss: 0.4441
Epoch: 111, Loss: 0.4438
Epoch: 116, Loss: 0.4434
Epoch: 121, Loss: 0.4431
Epoch: 126, Loss: 0.4428
Epoch: 131, Loss: 0.4425
Epoch: 136, Loss: 0.4422
Epoch: 141, Loss: 0.4420
Epoch: 146, Loss: 0.4417
Epoch: 151, Loss: 0.4414
Epoch: 156, Loss: 0.4412
Epoch: 161, Loss: 0.4409
Epoch: 166, Loss: 0.4407
Epoch: 171, Loss: 0.4404
Epoch: 176, Loss: 0.4402
Epoch: 181, Loss: 0.4399
Epoch: 186, Loss: 0.4397
Epoch: 191, Loss: 0.4394
Epoch: 196, Loss: 0.4392
Epoch: 201, Loss: 0.4390
Epoch: 206, Loss: 0.4387
Epoch: 211, Loss: 0.4385
Epoch: 216, Loss: 0.4382
Epoch: 221, Loss: 0.4381
Epoch: 226, Loss: 0.4382
Epoch: 231, Loss: 0.4451
Epoch: 236, Loss: 0.4404
Epoch: 241, Loss: 0.4386
Epoch: 246, Loss: 0.4372
Epoch: 251, Loss: 0.4374
Epoch: 256, Loss: 0.4367
Epoch: 261, Loss: 0.4363
Epoch: 266, Loss: 0.4361
Epoch: 271, Loss: 0.4358
Epoch: 276, Loss: 0.4355
Epoch: 281, Loss: 0.4482
Epoch: 286, Loss: 0.4695
Epoch: 291, Loss: 0.4417
Epoch: 296, Loss: 0.4397
Epoch: 301, Loss: 0.4392
Epoch: 306, Loss: 0.4386
Epoch: 311, Loss: 0.4381
Epoch: 316, Loss: 0.4371
Epoch: 321, Loss: 0.4365
Epoch: 326, Loss: 0.4366
Epoch: 331, Loss: 0.4361
Epoch: 336, Loss: 0.4355
Epoch: 341, Loss: 0.4350
Epoch: 346, Loss: 0.4348
