====================================================================================================
data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 13838] },
  (protein, rev_interaction, drug)={ edge_index=[2, 13838] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 7751],
    edge_label=[5811],
    edge_label_index=[2, 5811],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 7751] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 9688],
    edge_label=[4149],
    edge_label_index=[2, 4149],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 9688] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 11071],
    edge_label=[8301],
    edge_label_index=[2, 8301],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 11071] }
)
****************************************************************************************************
edge_x: torch.Size([5811, 32])
labels: torch.Size([5811])
edge_x: torch.Size([4149, 32])
labels: torch.Size([4149])
edge_x: torch.Size([8301, 32])
labels: torch.Size([8301])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 16, bias=True)
    (protein): Linear(-1, 16, bias=True)
  )
  (convs): ModuleList(
    (0-1): 2 x HGTConv(-1, 16, heads=2)
  )
  (lin): Linear(32, 1, bias=True)
)
Epoch: 51, Loss: 0.5076
Epoch: 101, Loss: 0.4938
Epoch: 151, Loss: 0.4734
Epoch: 201, Loss: 0.4671
Epoch: 251, Loss: 0.4670
Epoch: 301, Loss: 0.4554
Epoch: 351, Loss: 0.4533
Epoch: 401, Loss: 0.4528
Epoch: 451, Loss: 0.4445
Epoch: 501, Loss: 0.4418
Epoch: 551, Loss: 0.4404
Epoch: 601, Loss: 0.4402
Epoch: 651, Loss: 0.4375
Epoch: 701, Loss: 0.4338
Epoch: 751, Loss: 0.4327
Epoch: 801, Loss: 0.4339
Epoch: 851, Loss: 0.4388
Epoch: 901, Loss: 0.4319
Epoch: 951, Loss: 0.4638
Epoch: 1001, Loss: 0.4475
Epoch: 51, Loss: 0.4419
Epoch: 101, Loss: 0.4397
Epoch: 151, Loss: 0.4513
Epoch: 201, Loss: 0.4377
Epoch: 251, Loss: 0.4416
Epoch: 301, Loss: 0.4358
Epoch: 351, Loss: 0.4350
Epoch: 401, Loss: 0.4353
Epoch: 451, Loss: 0.4312
Epoch: 501, Loss: 0.4315
Epoch: 551, Loss: 0.4319
Epoch: 601, Loss: 0.4309
Epoch: 651, Loss: 0.4877
Epoch: 701, Loss: 0.4301
Epoch: 751, Loss: 0.4284
Epoch: 801, Loss: 0.4319
Epoch: 851, Loss: 0.4498
Epoch: 901, Loss: 0.4334
Epoch: 951, Loss: 0.4349
