====================================================================================================
data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 13838] },
  (protein, rev_interaction, drug)={ edge_index=[2, 13838] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 7751],
    edge_label=[5811],
    edge_label_index=[2, 5811],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 7751] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 9688],
    edge_label=[4149],
    edge_label_index=[2, 4149],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 9688] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[4499],
    x=[4499, 12],
  },
  protein={
    node_id=[2113],
    x=[2113, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 11071],
    edge_label=[8301],
    edge_label_index=[2, 8301],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 11071] }
)
****************************************************************************************************
edge_x: torch.Size([5811, 32])
labels: torch.Size([5811])
edge_x: torch.Size([4149, 32])
labels: torch.Size([4149])
edge_x: torch.Size([8301, 32])
labels: torch.Size([8301])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 64, bias=True)
    (protein): Linear(-1, 64, bias=True)
  )
  (convs): ModuleList(
    (0-3): 4 x HGTConv(-1, 64, heads=2)
  )
  (lin): Linear(128, 1, bias=True)
)
Epoch: 51, Loss: 0.6229
Epoch: 101, Loss: 0.4909
Epoch: 151, Loss: 0.4797
Epoch: 201, Loss: 0.4797
Epoch: 251, Loss: 0.4888
Epoch: 301, Loss: 0.4626
Epoch: 351, Loss: 0.4578
Epoch: 401, Loss: 0.4830
Epoch: 451, Loss: 0.4808
Epoch: 501, Loss: 0.4620
Epoch: 551, Loss: 0.4568
Epoch: 601, Loss: 0.4541
Epoch: 651, Loss: 0.4503
Epoch: 701, Loss: 0.4497
Epoch: 751, Loss: 0.4585
Epoch: 801, Loss: 0.4485
Epoch: 851, Loss: 0.4588
Epoch: 901, Loss: 0.4608
Epoch: 951, Loss: 0.4534
Epoch: 1001, Loss: 0.4650
Epoch: 51, Loss: 0.4561
Epoch: 101, Loss: 0.4633
Epoch: 151, Loss: 0.4549
Epoch: 201, Loss: 0.4520
Epoch: 251, Loss: 0.4484
Epoch: 301, Loss: 0.4534
Epoch: 351, Loss: 0.4461
Epoch: 401, Loss: 0.4453
Epoch: 451, Loss: 0.4467
Epoch: 501, Loss: 0.4503
Epoch: 551, Loss: 0.4767
Epoch: 601, Loss: 0.4673
Epoch: 651, Loss: 0.4639
Epoch: 701, Loss: 0.4593
Epoch: 751, Loss: 0.4570
Epoch: 801, Loss: 0.4555
Epoch: 851, Loss: 0.4546
Epoch: 901, Loss: 0.4538
Epoch: 951, Loss: 0.4533
Epoch: 1001, Loss: 0.4528
Elapsed time 0.1293 min
Epoch: 51, Loss: 0.4523
Epoch: 101, Loss: 0.4521
Epoch: 151, Loss: 0.4717
Epoch: 201, Loss: 0.4661
Epoch: 251, Loss: 0.4671
Epoch: 301, Loss: 0.4638
Epoch: 351, Loss: 0.4679
Epoch: 401, Loss: 0.4627
Epoch: 451, Loss: 0.4613
Epoch: 501, Loss: 0.4621
Epoch: 551, Loss: 0.4623
Epoch: 601, Loss: 0.4632
Epoch: 651, Loss: 0.4608
Epoch: 701, Loss: 0.4603
Epoch: 751, Loss: 0.4601
Epoch: 801, Loss: 0.4651
Epoch: 851, Loss: 0.4583
Epoch: 901, Loss: 0.4574
Epoch: 951, Loss: 0.4728
Epoch: 1001, Loss: 0.4643
Elapsed time 0.1283 min
Epoch: 51, Loss: 0.4636
Epoch: 101, Loss: 0.4631
Epoch: 151, Loss: 0.4626
Epoch: 201, Loss: 0.4631
Epoch: 251, Loss: 0.4613
Epoch: 301, Loss: 0.4613
Epoch: 351, Loss: 0.4616
Epoch: 401, Loss: 0.4597
Epoch: 451, Loss: 0.4593
Epoch: 501, Loss: 0.4599
Epoch: 551, Loss: 0.4587
Epoch: 601, Loss: 0.4583
Epoch: 651, Loss: 0.4622
Epoch: 701, Loss: 0.4601
Epoch: 751, Loss: 0.4577
Epoch: 801, Loss: 0.4575
Epoch: 851, Loss: 0.4566
Epoch: 901, Loss: 0.4553
Epoch: 951, Loss: 0.4548
Epoch: 1001, Loss: 0.4534
Elapsed time 0.1290 min
Epoch: 51, Loss: 0.4516
Epoch: 101, Loss: 0.6518
Epoch: 151, Loss: 0.6196
Epoch: 201, Loss: 0.4910
Epoch: 251, Loss: 0.4819
Epoch: 301, Loss: 0.4801
