====================================================================================================
data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 23705] },
  (protein, rev_interaction, drug)={ edge_index=[2, 23705] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 13276],
    edge_label=[9954],
    edge_label_index=[2, 9954],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 13276] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 16594],
    edge_label=[7110],
    edge_label_index=[2, 7110],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 16594] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 18964],
    edge_label=[14223],
    edge_label_index=[2, 14223],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 18964] }
)
****************************************************************************************************
edge_x: torch.Size([9954, 32])
labels: torch.Size([9954])
edge_x: torch.Size([7110, 32])
labels: torch.Size([7110])
edge_x: torch.Size([14223, 32])
labels: torch.Size([14223])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 64, bias=True)
    (protein): Linear(-1, 64, bias=True)
  )
  (convs): ModuleList(
    (0-1): 2 x HGTConv(-1, 64, heads=4)
  )
  (lin): Linear(128, 1, bias=True)
)
Epoch: 6, Loss: 0.8356
Epoch: 11, Loss: 0.6304
Epoch: 16, Loss: 0.6353
Epoch: 21, Loss: 0.6259
Epoch: 26, Loss: 0.6638
Epoch: 31, Loss: 0.5924
Epoch: 36, Loss: 0.5811
Epoch: 41, Loss: 0.5673
Epoch: 46, Loss: 0.5454
Epoch: 51, Loss: 0.5470
Epoch: 56, Loss: 0.5422
Epoch: 61, Loss: 0.5185
Epoch: 66, Loss: 0.5014
Epoch: 71, Loss: 0.4995
Epoch: 76, Loss: 0.4995
Epoch: 81, Loss: 0.4981
Epoch: 86, Loss: 0.4979
Epoch: 91, Loss: 0.4964
Epoch: 96, Loss: 0.4952
Epoch: 101, Loss: 0.4945
Epoch: 106, Loss: 0.4938
Epoch: 111, Loss: 0.4932
Epoch: 116, Loss: 0.4927
Epoch: 121, Loss: 0.4922
Epoch: 126, Loss: 0.4916
Epoch: 131, Loss: 0.4909
Epoch: 136, Loss: 0.4899
Epoch: 141, Loss: 0.4883
Epoch: 146, Loss: 0.4872
Epoch: 151, Loss: 0.4837
Epoch: 156, Loss: 0.5451
Epoch: 161, Loss: 0.5055
Epoch: 166, Loss: 0.5084
Epoch: 171, Loss: 0.5345
Epoch: 176, Loss: 0.4914
Epoch: 181, Loss: 0.4968
Epoch: 186, Loss: 0.4940
Epoch: 191, Loss: 0.4912
Epoch: 196, Loss: 0.4883
Epoch: 201, Loss: 0.4886
Epoch: 206, Loss: 0.4872
Epoch: 211, Loss: 0.4870
Epoch: 216, Loss: 0.4862
Epoch: 221, Loss: 0.4857
Epoch: 226, Loss: 0.4853
Epoch: 231, Loss: 0.4848
Epoch: 236, Loss: 0.4844
Epoch: 241, Loss: 0.4840
Epoch: 246, Loss: 0.4836
Epoch: 251, Loss: 0.4832
Epoch: 256, Loss: 0.4831
Epoch: 261, Loss: 0.4826
Epoch: 266, Loss: 0.4823
Epoch: 271, Loss: 0.4819
Epoch: 276, Loss: 0.4815
Epoch: 281, Loss: 0.4812
Epoch: 286, Loss: 0.4808
Epoch: 291, Loss: 0.4803
Epoch: 296, Loss: 0.4800
Epoch: 301, Loss: 0.4797
Epoch: 306, Loss: 0.4792
Epoch: 311, Loss: 0.4793
Epoch: 316, Loss: 0.4786
Epoch: 321, Loss: 0.4929
Epoch: 326, Loss: 0.5067
Epoch: 331, Loss: 0.5181
Epoch: 336, Loss: 0.4906
Epoch: 341, Loss: 0.4881
Epoch: 346, Loss: 0.4838
Epoch: 351, Loss: 0.4809
Epoch: 356, Loss: 0.4803
Epoch: 361, Loss: 0.4780
Epoch: 366, Loss: 0.4777
Epoch: 371, Loss: 0.4763
Epoch: 376, Loss: 0.4761
Epoch: 381, Loss: 0.4754
Epoch: 386, Loss: 0.4767
Epoch: 391, Loss: 0.4755
Epoch: 396, Loss: 0.4747
Epoch: 401, Loss: 0.4744
Epoch: 406, Loss: 0.4749
Epoch: 411, Loss: 0.4720
Epoch: 416, Loss: 0.4734
Epoch: 421, Loss: 0.4732
Epoch: 426, Loss: 0.4712
Epoch: 431, Loss: 0.4715
Epoch: 436, Loss: 0.4714
Epoch: 441, Loss: 0.4717
Epoch: 446, Loss: 0.4701
