====================================================================================================
data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 23705] },
  (protein, rev_interaction, drug)={ edge_index=[2, 23705] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 13276],
    edge_label=[9954],
    edge_label_index=[2, 9954],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 13276] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 16594],
    edge_label=[7110],
    edge_label_index=[2, 7110],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 16594] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 18964],
    edge_label=[14223],
    edge_label_index=[2, 14223],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 18964] }
)
****************************************************************************************************
edge_x: torch.Size([9954, 32])
labels: torch.Size([9954])
edge_x: torch.Size([7110, 32])
labels: torch.Size([7110])
edge_x: torch.Size([14223, 32])
labels: torch.Size([14223])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 16, bias=True)
    (protein): Linear(-1, 16, bias=True)
  )
  (convs): ModuleList(
    (0-1): 2 x HGTConv(-1, 16, heads=2)
  )
  (lin): Linear(32, 1, bias=True)
)
Epoch: 6, Loss: 0.6370
Epoch: 11, Loss: 0.6296
Epoch: 16, Loss: 0.6234
Epoch: 21, Loss: 0.5955
Epoch: 26, Loss: 0.6030
Epoch: 31, Loss: 0.5492
Epoch: 36, Loss: 0.5330
Epoch: 41, Loss: 0.5239
Epoch: 46, Loss: 0.5261
Epoch: 51, Loss: 0.5212
Epoch: 56, Loss: 0.5190
Epoch: 61, Loss: 0.5184
Epoch: 66, Loss: 0.5168
Epoch: 71, Loss: 0.5166
Epoch: 76, Loss: 0.5163
Epoch: 81, Loss: 0.5157
Epoch: 86, Loss: 0.5153
Epoch: 91, Loss: 0.5150
Epoch: 96, Loss: 0.5148
Epoch: 101, Loss: 0.5145
Epoch: 106, Loss: 0.5142
Epoch: 111, Loss: 0.5139
Epoch: 116, Loss: 0.5137
Epoch: 121, Loss: 0.5133
Epoch: 126, Loss: 0.5130
Epoch: 131, Loss: 0.5126
Epoch: 136, Loss: 0.5123
Epoch: 141, Loss: 0.5119
Epoch: 146, Loss: 0.5115
Epoch: 151, Loss: 0.5110
Epoch: 156, Loss: 0.5106
Epoch: 161, Loss: 0.5100
Epoch: 166, Loss: 0.5095
Epoch: 171, Loss: 0.5089
Epoch: 176, Loss: 0.5083
Epoch: 181, Loss: 0.5076
Epoch: 186, Loss: 0.5069
Epoch: 191, Loss: 0.5062
Epoch: 196, Loss: 0.5055
