====================================================================================================
data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={ edge_index=[2, 23705] },
  (protein, rev_interaction, drug)={ edge_index=[2, 23705] }
)
====================================================================================================
****************************************************************************************************
train data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 13276],
    edge_label=[9954],
    edge_label_index=[2, 9954],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 13276] }
)
****************************************************************************************************
val data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 16594],
    edge_label=[7110],
    edge_label_index=[2, 7110],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 16594] }
)
****************************************************************************************************
test data: HeteroData(
  drug={
    node_id=[6823],
    x=[6823, 12],
  },
  protein={
    node_id=[4650],
    x=[4650, 20],
  },
  (drug, interaction, protein)={
    edge_index=[2, 18964],
    edge_label=[14223],
    edge_label_index=[2, 14223],
  },
  (protein, rev_interaction, drug)={ edge_index=[2, 18964] }
)
****************************************************************************************************
edge_x: torch.Size([9954, 32])
labels: torch.Size([9954])
edge_x: torch.Size([7110, 32])
labels: torch.Size([7110])
edge_x: torch.Size([14223, 32])
labels: torch.Size([14223])
model: HGT(
  (lin_dict): ModuleDict(
    (drug): Linear(-1, 64, bias=True)
    (protein): Linear(-1, 64, bias=True)
  )
  (convs): ModuleList(
    (0-4): 5 x HGTConv(-1, 64, heads=2)
  )
  (lin): Linear(128, 1, bias=True)
)
Epoch: 6, Loss: 1.5050
Epoch: 11, Loss: 0.6315
Epoch: 16, Loss: 0.6413
Epoch: 21, Loss: 0.9133
Epoch: 26, Loss: 0.6973
Epoch: 31, Loss: 0.6671
Epoch: 36, Loss: 0.6417
Epoch: 41, Loss: 0.6366
Epoch: 46, Loss: 0.6321
Epoch: 51, Loss: 0.6301
Epoch: 56, Loss: 0.6300
Epoch: 61, Loss: 0.6293
Epoch: 66, Loss: 0.6285
Epoch: 71, Loss: 0.6264
Epoch: 76, Loss: 0.6014
Epoch: 81, Loss: 0.5782
Epoch: 86, Loss: 0.5398
Epoch: 91, Loss: 0.5380
Epoch: 96, Loss: 0.5309
Epoch: 101, Loss: 0.5228
Epoch: 106, Loss: 0.5230
Epoch: 111, Loss: 0.5206
Epoch: 116, Loss: 0.5192
Epoch: 121, Loss: 0.5189
Epoch: 126, Loss: 0.5182
Epoch: 131, Loss: 0.5176
Epoch: 136, Loss: 0.5172
Epoch: 141, Loss: 0.5168
Epoch: 146, Loss: 0.5166
Epoch: 151, Loss: 0.5164
Epoch: 156, Loss: 0.5161
Epoch: 161, Loss: 0.5159
Epoch: 166, Loss: 0.5157
Epoch: 171, Loss: 0.5155
Epoch: 176, Loss: 0.5153
Epoch: 181, Loss: 0.5151
Epoch: 186, Loss: 0.5149
Epoch: 191, Loss: 0.5147
Epoch: 196, Loss: 0.5145
Epoch: 201, Loss: 0.5143
Epoch: 206, Loss: 0.5141
Epoch: 211, Loss: 0.5139
Epoch: 216, Loss: 0.5137
Epoch: 221, Loss: 0.5134
Epoch: 226, Loss: 0.5131
Epoch: 231, Loss: 0.5123
Epoch: 236, Loss: 0.5088
Epoch: 241, Loss: 0.5168
Epoch: 246, Loss: 0.5430
Epoch: 251, Loss: 0.5104
Epoch: 256, Loss: 0.5126
Epoch: 261, Loss: 0.5138
Epoch: 266, Loss: 0.5137
Epoch: 271, Loss: 0.5122
Epoch: 276, Loss: 0.5107
Epoch: 281, Loss: 0.5093
Epoch: 286, Loss: 0.5089
Epoch: 291, Loss: 0.5083
Epoch: 296, Loss: 0.5057
Epoch: 301, Loss: 0.5021
Epoch: 306, Loss: 0.4982
Epoch: 311, Loss: 0.4957
Epoch: 316, Loss: 0.4935
Epoch: 321, Loss: 0.4986
Epoch: 326, Loss: 0.4933
Epoch: 331, Loss: 0.4926
Epoch: 336, Loss: 0.4901
Epoch: 341, Loss: 0.4904
Epoch: 346, Loss: 0.4890
Epoch: 351, Loss: 0.4895
Epoch: 356, Loss: 0.4888
Epoch: 361, Loss: 0.4889
Epoch: 366, Loss: 0.4885
Epoch: 371, Loss: 0.4880
Epoch: 376, Loss: 0.4879
Epoch: 381, Loss: 0.4878
Epoch: 386, Loss: 0.4874
Epoch: 391, Loss: 0.4872
Epoch: 396, Loss: 0.4873
Epoch: 401, Loss: 0.4870
Epoch: 406, Loss: 0.4872
Epoch: 411, Loss: 0.4956
Epoch: 416, Loss: 0.4935
Epoch: 421, Loss: 0.4910
Epoch: 426, Loss: 0.4896
Epoch: 431, Loss: 0.4895
Epoch: 436, Loss: 0.4887
Epoch: 441, Loss: 0.4880
Epoch: 446, Loss: 0.4880
